# OpenClaw Nightly Scan — Full Scored PR Report
# Generated: 2026-02-27
# Total scored: 5053
# Score >= 80: 166
# Score >= 70: 1974
#
# Format: SCORE | PR# | INTENT | TITLE
# ====================================================================================================

# ── CRITICAL (score >= 90) ──────────────────────────────────────────
 81 | #14308  | bugfix     | fix(sandbox): pass docker.env config to container creation
 81 | #17950  | bugfix     | fix: filter error payloads from user-facing messages
 81 | #19129  | bugfix     | fix(config): block destructive config writes instead of only logging them (#1906
 81 | #19406  | bugfix     | fix(heartbeat): filter error payloads from heartbeat reply selection
 81 | #20688  | bugfix     | fix(browser): allow extension reconnect when stale websocket lingers (AI-assiste
 81 | #20867  | bugfix     | fix: allow 'video' and 'audio' in models.input config
 81 | #21735  | bugfix     | fix(hooks): pass configured model to slug generator (#21650)
 81 | #21896  | bugfix     | fix(cron): disable messaging tool when delivery.mode is none
 81 | #22022  | bugfix     | fix: propagate senderIsOwner to agent loop
 81 | #22096  | bugfix     | fix(slack): traverse .original for Slack SDK errors; pass recipient_team_id to s
 81 | #22929  | bugfix     | Fix NODE_EXTRA_CA_CERTS missing from LaunchAgent environment on macOS
 81 | #23184  | bugfix     | fix(auto-reply): prevent reminder guard note from leaking into channel messages
 81 | #23261  | bugfix     | fix(feishu): bitable tools fail to register with accounts config pattern
 81 | #24181  | bugfix     | fix(discord): pass gateway auth token to exec approval handler
 81 | #24535  | bugfix     | fix: restore template placeholders in HTML session export (#24408)
 81 | #24635  | bugfix     | fix: recognize Bedrock as Anthropic-compatible in transcript policy
 81 | #24763  | bugfix     | fix(gateway): include pairing requestId in close reason and recovery hints
 81 | #26195  | bugfix     | fix(whatsapp): use Opus format for TTS voice notes instead of MP3
 81 | #27905  | bugfix     | Zalo: improve inbound reliability, parsing fallbacks, and sticker emoji-only rep
 80 | #7660   | bugfix     | fix(signal): route group reactions to group sessions
 80 | #10487  | bugfix     | fix(line): use snapshot configured flag in collectStatusIssues
 80 | #11160  | bugfix     | Media: add missing audio MIME-to-extension mappings (aac, flac, opus, wav)
 80 | #11494  | bugfix     | fix(bluebubbles): skip typing indicator for tapback messages
 80 | #11613  | bugfix     | fix: clear stale model metadata on /new and /reset
 80 | #12414  | bugfix     | fix(slack): do not cache API failures in thread_ts resolver
 80 | #12475  | bugfix     | fix(logging): use Symbol.for for externalTransports to survive jiti module isola
 80 | #12665  | bugfix     | fix(tools): recognise tool groups that expand to plugin tools in allowlist valid
 80 | #12786  | bugfix     | fix: drop heartbeat runs that arrive while another run is active
 80 | #12794  | bugfix     | fix: catch firecrawl fallback errors in web_fetch to prevent unhandled rejection
 80 | #13104  | bugfix     | fix: persist user command message in chat transcript
 80 | #13288  | bugfix     | fix(cron): normalize string schedule/payload from non-frontier LLMs
 80 | #13476  | bugfix     | fix(sessions): show actual cron session model in sessions_list
 80 | #13626  | bugfix     | fix(model): propagate provider model properties in fallback resolution
 80 | #13661  | bugfix     | fix(auth): skip timeout cooldown for local/self-hosted providers
 80 | #13829  | bugfix     | fix(googlechat): detect bot @mentions via user.type when botUser not configured
 80 | #13849  | bugfix     | fix(configure): preserve custom config keys across wizard sections
 80 | #13976  | bugfix     | fix(anthropic): include Anthropic in tool call ID sanitization
 80 | #14005  | bugfix     | fix(memory): bm25RankToScore returns constant 1.0 for all negative BM25 ranks
 80 | #14564  | bugfix     | fix(gateway): crashes on startup when tailscale meets non-loopback bind (#14542)
 80 | #14888  | bugfix     | fix(routing): normalize peer.kind in matchesPeer for symmetric comparison
 80 | #14904  | bugfix     | fix(nostr): handle string return from nip19.decode in normalizePubkey
 80 | #14912  | bugfix     | fix(slack): enable session-store lookup for announce target accountId
 80 | #15327  | feature    | feat:(models): discover ZAI models dynamically for GLM-5 support [AI-assisted]
 80 | #16259  | bugfix     | fix(cron): pass accountId through delivery path for multi-account channels
 80 | #16812  | bugfix     | Fix sessions_send failing on Telegram, Discord, Signal, and Slack
 80 | #16893  | bugfix     | fix(threads): inject thread starter context on every turn, not just new sessions
 80 | #16987  | bugfix     | fix(config): add skipCache to updateSessionStoreEntry and updateLastRoute to pre
 80 | #17371  | bugfix     | fix(heartbeat): always strip HEARTBEAT_OK token from reply text
 80 | #17375  | bugfix     | fix(session): don't carry stale model info into reset welcome message
 80 | #18230  | bugfix     | fix(sessions): repair lone surrogates in session history before API call
 80 | #19407  | bugfix     | fix(agents): strip thinking blocks on cross-provider model switch (#19295)
 80 | #19996  | bugfix     | fix(plugins): bind logger methods to preserve this context (#19988)
 80 | #20185  | bugfix     | fix(model): recognize default/reset/clear keywords to clear session model overri
 80 | #20212  | feature    | feat: Add Kilo Gateway provider
 80 | #20738  | bugfix     | Fix model input schema to accept audio and video modalities
 80 | #21166  | bugfix     | fix(agents): sanitize tool names in session transcript repair (#8595)
 80 | #21529  | bugfix     | Gateway: allow node health and throttle repeated unauthorized role retries
 80 | #21622  | bugfix     | fix(gateway): include read/write in CLI default operator scopes
 80 | #21820  | bugfix     | fix(exec): show requested host in disallowed host hint
 80 | #21839  | bugfix     | fix(skills): allowBundled: [] now blocks all bundled skills
 80 | #21847  | bugfix     | fix(session): /new and /reset no longer carry over model overrides
 80 | #22110  | bugfix     | fix(tools): prefer loopback for internal tool-to-gateway RPC calls
 80 | #22476  | bugfix     | fix(slack): add streamMode to Zod schema and support "off" mode
 80 | #22583  | bugfix     | fix(gateway): add operator.write to scope hierarchy (#22574)
 80 | #22711  | bugfix     | fix: post-compaction audit skips non-existent required files
 80 | #22741  | bugfix     | fix(models): add DashScope/Qwen to normalizeModelCompat developer role guard (#2
 80 | #22980  | feature    | Gateway: add manual secrets reload command
 80 | #23071  | bugfix     | fix(tts): make config auto=off a hard-disable that overrides user prefs
 80 | #23086  | bugfix     | fix(cron): surface channel resolution error for isolated sessions with no histor
 80 | #23112  | bugfix     | fix(sandbox): propagate docker.user to all exec commands
 80 | #24164  | bugfix     | fix(status): label codex 7-day usage window as Week
 80 | #24266  | bugfix     | fix(doctor): replace nonexistent auth add command with openclaw onboard (#24220)
 80 | #24379  | bugfix     | fix(config): preserve env var refs during gateway startup config writes
 80 | #24500  | bugfix     | fix(telegram): preserve streaming preview when error is the only final payload
 80 | #24501  | bugfix     | fix(cli): keep update status --json machine-readable
 80 | #24571  | bugfix     | fix(security): prevent cross-channel reply routing in shared sessions
 80 | #24580  | bugfix     | fix(msteams): keep monitor alive until shutdown
 80 | #24627  | bugfix     | fix: auth none mode, external content newline, node-host debug log
 80 | #24733  | bugfix     | fix: normalize input peer.kind in resolveAgentRoute
 80 | #24737  | bugfix     | fix(telegram): record sent messages for reaction own mode filtering
 80 | #24805  | bugfix     | fix(usage): include archived deleted transcripts in usage-cost totals
 80 | #25749  | bugfix     | fix(gateway): bind node system.run approval to approved run-shape
 80 | #25983  | bugfix     | fix(security): use SSRF guard for node camera URL downloads
 80 | #25987  | bugfix     | security(media): block attachment reads from agent state roots
 80 | #25988  | bugfix     | security(telegram): fail closed group allowlist against DM pairing store
 80 | #26032  | bugfix     | security(slack): fail closed for explicit empty channel user allowlists
 80 | #26098  | bugfix     | security(slack): isolate room text-command auth from DM pairing-store entries
 80 | #26529  | bugfix     | fix(compaction): clear stale usage.totalTokens after compaction to prevent doubl
 80 | #26617  | bugfix     | security(signal): keep DM pairing-store entries out of group allowlists
 80 | #26639  | bugfix     | security(signal): scope pairing approvals to accountId

# ── NORMAL (score 70-79) ───────────────────────────────────────────
 79 | #4922   | bugfix     | fix(agents): ensure parallel tool results have correct parentId
 79 | #7558   | bugfix     | fix: Handle Grammy/Telegram network errors to prevent gateway crashes
 79 | #8402   | bugfix     | fix(ui): bypass /api in Control UI handler
 79 | #8701   | bugfix     | fix: default enabled to true for cron jobs created via tool API
 79 | #8718   | bugfix     | fix: sanitize download filenames to prevent path traversal (CWE-22)
 79 | #10257  | bugfix     | fix(security): anchor MIME sanitization regex and block fullwidth bypass (#9791,
 79 | #10958  | bugfix     | fix: Signal UUID allowlist entries silently fail when sourceNumber is present
 79 | #11600  | bugfix     | fix(bluebubbles): always use private-api method for sending
 79 | #11874  | bugfix     | fix: handle fetch rejections in provider usage withTimeout
 79 | #12477  | bugfix     | fix(agents): prevent TimeoutOverflowWarning when timeout is disabled
 79 | #12792  | bugfix     | fix: exclude 'tokens' (plural) fields from config redaction
 79 | #12793  | bugfix     | fix(signal): preserve case-sensitivity for group IDs, UUIDs, and usernames
 79 | #13840  | refactor   | perf(cli): skip plugin loading during completion generation
 79 | #13940  | bugfix     | fix: suppress low context window warning for explicitly configured models
 79 | #14443  | bugfix     | fix(telegram): skip General topic thread ID for all chat types (#14383)
 79 | #14483  | bugfix     | fix(cli-runner): map Anthropic cache_creation_input_tokens
 79 | #15050  | bugfix     | fix: transcript corruption resilience — strip aborted tool_use blocks, isolate f
 79 | #15071  | bugfix     | fix(browser): default fill field type to textbox when omitted
 79 | #15095  | bugfix     | fix(slack): process all file attachments instead of only the first
 79 | #15650  | bugfix     | fix(whatsapp): pass fileName to document sends instead of hardcoding 'file'
 79 | #15726  | bugfix     | fix(sessions): use model contextWindow instead of agent contextTokens in session
 79 | #16095  | bugfix     | fix: remove orphaned tool_result blocks during compaction (#15691)
 79 | #16962  | bugfix     | fix: make auth error detection contextual to prevent false positives
 79 | #16990  | bugfix     | fix(media): strip auth headers on cross-origin redirect in downloadToFile
 79 | #16991  | bugfix     | fix(config): add missing defaults to config snapshot path
 79 | #17456  | bugfix     | fix(test): stabilize media root guard test against tmpdir HOME overlap
 79 | #17885  | bugfix     | fix: replace anyOf union type in image tool schema
 79 | #18204  | feature    | feat(memory): add native Telnyx embedding provider
 79 | #18221  | bugfix     | fix(cli): raise cron command timeout to 90s and retry read-only RPCs
 79 | #18647  | bugfix     | fix(agents): guard against undefined paths in injectedFiles
 79 | #18876  | bugfix     | fix(outbound): strip DSML function-call markup before delivery
 79 | #18921  | bugfix     | fix(mattermost): register websocket listeners before emitting events in test
 79 | #18926  | bugfix     | fix(agents): preserve thinking signatures for direct Anthropic API
 79 | #18957  | bugfix     | fix(tts): replace deprecated ElevenLabs eleven_monolingual_v1 model
 79 | #19021  | bugfix     | fix(hooks): reject path traversal in hook pack manifest entries during install
 79 | #19077  | bugfix     | fix(agents): trigger model failover on connection-refused and network-unreachabl
 79 | #19087  | bugfix     | fix(sessions): sync display fields on model switch
 79 | #19414  | bugfix     | fix: respect job timeoutSeconds for stuck runningAtMs detection
 79 | #19868  | bugfix     | fix: prevent media token regex from matching markdown bold text
 79 | #19882  | bugfix     | fix(discord): register select menu handlers (unique customId)
 79 | #20186  | bugfix     | fix(discord): thread mediaLocalRoots through reply delivery path
 79 | #20511  | bugfix     | fix: register poll action gate for Telegram adapter (#17528)
 79 | #20589  | bugfix     | Auto-reply: preserve Telegram DM newlines
 79 | #20650  | bugfix     | fix(gateway): include deleted/reset sessions in usage.cost RPC (#20599)
 79 | #20842  | bugfix     | fix(telegram): preserve preview when only error payloads are delivered
 79 | #20882  | bugfix     | fix(memory): add gpu config option for local embeddings and surface indexer erro
 79 | #21014  | bugfix     | fix(cron): suppress main-session summary for HEARTBEAT_OK responses
 79 | #21454  | bugfix     | fix(cron): skip isError payloads when picking summary/delivery content
 79 | #21609  | bugfix     | fix(ui): align gateway connect params with ConnectParamsSchema
 79 | #21651  | bugfix     | fix(gateway): token fallback + operator.admin scope superset in pairing check
 79 | #22064  | bugfix     | fix(failover): bypass models allowlist for configured fallback models
 79 | #22700  | bugfix     | fix: support node binaries named like `node22`
 79 | #22721  | bugfix     | fix(exec): keep child runs attached on macOS for reliable output
 79 | #22813  | bugfix     | Return clear error when exec cwd is missing instead of spawn ENOENT
 79 | #22917  | bugfix     | fix: Use agent's configured workspace when spawned as subagent
 79 | #22942  | bugfix     | fix(slack): parse generic attachment text for inbound events
 79 | #23036  | bugfix     | fix(discord): restore @snazzah/davey runtime dep for VC DAVE
 79 | #23148  | bugfix     | fix: forward mediaLocalRoots in whatsapp plugin sendMedia
 79 | #23483  | bugfix     | fix(bluebubbles): key debounce by chat+sender instead of messageId
 79 | #23534  | bugfix     | fix(config): add firecrawl and readability fields to ToolsWebFetchSchema
 79 | #23706  | refactor   | perf: cache image resize results to avoid redundant processing (#23590)
 79 | #23925  | bugfix     | fix(agents): recover subagent cleanup when announce rejects
 79 | #23984  | bugfix     | fix(web): isolate WhatsApp creds save queues per auth dir
 79 | #24005  | bugfix     | fix(telegram): retry draft previews after transient send failures
 79 | #24026  | bugfix     | fix: inherit reasoning flag from provider model config in fallback path
 79 | #24100  | bugfix     | Memory: set PRAGMA busy_timeout on sync-ops database
 79 | #24163  | bugfix     | fix(status): label 7-day Codex usage window as Week
 79 | #24264  | bugfix     | fix(memory): serialize qmd fallback initialization
 79 | #24567  | bugfix     | fix(agents): sanitize Gemini tool schemas for non-google-gemini-cli 
 79 | #24614  | bugfix     | fix: models.list respects allowlist instead of falling back to full catalog
 79 | #24669  | bugfix     | fix(channels): strip reasoning tags in sanitizeUserFacingText (#24626)
 79 | #24695  | bugfix     | fix(process): escalate to direct pid kill after group kill
 79 | #24712  | bugfix     | fix(skills): verify sha256 for download installer artifacts
 79 | #24721  | bugfix     | fix(plugins): re-enable bundled channels after plugins disable
 79 | #24727  | bugfix     | fix(memory): raise qmd busy_timeout to prevent read contention failures
 79 | #24759  | bugfix     | fix(openai): drop orphan tool results after tool-call filtering
 79 | #24775  | bugfix     | fix(sessions): set transcriptPath to agent sessions directory
 79 | #24828  | bugfix     | fix: warn when /usage cost excludes deleted sessions
 79 | #25127  | bugfix     | fix(copilot): key token cache per profile to prevent cross-account leakage
 79 | #25702  | bugfix     | fix(archive): reject symlink tar extraction roots
 79 | #25962  | bugfix     | fix(whatsapp): fail closed group sender allowlist in auto-reply gating
 79 | #25971  | bugfix     | security(thread-ownership): fail closed ownership checks on verifier failure
 79 | #25976  | bugfix     | security(googlechat): fail closed on empty space users allowlist
 79 | #25978  | bugfix     | security(line): fail closed group allowlist against DM pairing store
 79 | #25982  | bugfix     | security(matrix): fail closed on explicit empty room users allowlist
 79 | #25989  | bugfix     | security(discord): fail closed explicit empty member allowlist overrides
 79 | #26225  | bugfix     | fix(security): fail-closed SSRF protection for node camera downloads
 79 | #26533  | bugfix     | fix(security): add brute-force protection to pairing code validation
 79 | #26555  | bugfix     | fix(security): ignore Discord embed preview text in agent input
 79 | #26602  | bugfix     | fix: clean orphaned session lock files on in-process restart
 79 | #26614  | bugfix     | security(feishu): scope pairing approvals to accountId
 79 | #26631  | bugfix     | security(googlechat): scope pairing approvals to accountId
 79 | #26701  | bugfix     | security(line): scope pairing-store auth to accountId
 79 | #26735  | bugfix     | security(slack): scope pairing-store auth to accountId
 79 | #26754  | bugfix     | security(discord): scope DM pairing preflight per account
 79 | #27203  | bugfix     | fix(sessions): preserve updatedAt in updateLastRoute to unblock idle/daily reset
 79 | #27224  | bugfix     | fix(msteams): add proactive fallback for revoked turn context
 79 | #27391  | feature    | secure-by-default: localhost-only defaults, CORS restriction, WS/SSE …
 79 | #27424  | feature    | feat(matrix): add SAS interactive verification and DM target safety
 79 | #27528  | bugfix     | fix: preserve thinking signatures for Anthropic after compaction (#27504)
 79 | #27718  | bugfix     | fix: remove WORKFLOW_AUTO.md hardcoded default to close prompt injection vector
 79 | #28239  | bugfix     | security(gateway): reject oversized pre-auth websocket frames
 79 | #28241  | bugfix     | security(thread-ownership): fail closed on verifier errors
 79 | #28393  | bugfix     | fix(secrets): avoid re-materializing plaintext apiKey in agent models.json
 78 | #3967   | bugfix     | fix(sandbox): correct workspace prompt path
 78 | #4044   | bugfix     | fix: release session locks on SIGUSR1 restart + instance nonce for stale detecti
 78 | #6400   | bugfix     | fix: set correct mode for Anthropic OAuth auth (#2697)
 78 | #8224   | feature    | feat(whatsapp): extract @mentions into dedicated module
 78 | #11280  | bugfix     | fix(gateway): add meta prefix to reload rules to prevent double SIGUSR1
 78 | #12204  | bugfix     | fix(discord): resolve numeric guildId/channelId pairs in channel allowlist
 78 | #12209  | bugfix     | fix(skills): refresh stale skill snapshot after gateway restart
 78 | #12308  | bugfix     | fix(cli): redirect log output to stderr during completion script generation
 78 | #13029  | bugfix     | fix(docs): add redirect from /hooks to /automation/hooks
 78 | #14488  | bugfix     | Fix Telegram default account listing and CLI cache-write usage mapping
 78 | #15345  | bugfix     | fix(daemon): doctor --fix pollutes service PATH with dirs that don't exist (#153
 78 | #15619  | bugfix     | fix: clean up orphan LaunchAgent plist on bootstrap failure
 78 | #16015  | bugfix     | fix(gateway): truncate oversized message content in chat.history response
 78 | #16290  | bugfix     | fix: add field-level validation for custom LLM provider config
 78 | #16894  | bugfix     | Fix text truncation splitting surrogate pairs in web-fetch, subagents, and chann
 78 | #17723  | bugfix     | Telegram actions: let poll fall back to core sender
 78 | #17823  | bugfix     | fix: memory leak in cron isolated runs — agent-events Maps never cleaned (#17820
 78 | #17841  | bugfix     | fix(google): include 'google' provider in tool schema sanitization
 78 | #18219  | bugfix     | fix: validate base64 image data before sending to LLM APIs
 78 | #18656  | bugfix     | fix(signal): add missing groups field to Signal channel schema (#18635)
 78 | #18958  | bugfix     | fix: replace deprecated eleven_monolingual_v1 with eleven_flash_v2
 78 | #18972  | bugfix     | Fix #18880: Drop pending notifications when cron job is deleted
 78 | #19164  | bugfix     | fix(discord): dedupe native skill commands across agents by skill name
 78 | #19191  | bugfix     | fix(security): harden cron file permissions to 0o600
 78 | #19254  | bugfix     | fix(feishu): honor wildcard group config for reply policy
 78 | #19270  | bugfix     | fix: retry event-driven heartbeats blocked by requests-in-flight
 78 | #19358  | chore      | test(signal): add E.164 format acceptance for signal target detection
 78 | #19401  | bugfix     | fix(ui): prevent precision loss when coercing large numeric strings in config fo
 78 | #19464  | feature    | feat(plugins): expose requestHeartbeatNow on plugin runtime
 78 | #19624  | bugfix     | fix: elevatedDefault should default to off when tools.elevated.enabled is true
 78 | #19707  | bugfix     | fix(agents): apply per-agent skills filter to all run paths
 78 | #19736  | bugfix     | fix(matrix): remove memberCount heuristic from DM detection
 78 | #19911  | bugfix     | fix(slack): bind `this` context for `app.options()` in slash command arg menus
 78 | #20406  | bugfix     | fix(slack): respect replyToMode when computing statusThreadTs in DMs
 78 | #20823  | bugfix     | fix(security): Windows ACL audit false-positive with localized SYSTEM (ru-RU)
 78 | #20868  | bugfix     | fix: resolve {model} responsePrefix vars in non-agent-turn paths
 78 | #21042  | bugfix     | fix(ui): render images in tool result messages
 78 | #21186  | bugfix     | fix(gateway): strict loopback guard for Control UI (v2)
 78 | #21476  | bugfix     | fix(cli): include operator.read in default CLI scopes
 78 | #21514  | bugfix     | fix(retry): make retryAsync abort-aware during backoff sleep
 78 | #21615  | bugfix     | fix(tui): preserve main session model during heartbeat model override
 78 | #21693  | feature    | feat(gateway): expose session entry id on chat history messages
 78 | #21797  | feature    | feat: provider-level circuit breaker for model fallback chain
 78 | #21859  | bugfix     | fix(logs): respect TZ env var for timestamp display, fix Windows timezone
 78 | #21871  | bugfix     | fix(plugins): suppress false duplicate warning when user-installed plugin shadow
 78 | #21889  | bugfix     | fix(whatsapp): include outbound DMs in agent context for allowed contacts
 78 | #22068  | feature    | Add tool:before/tool:after internal hook events
 78 | #22109  | bugfix     | fix(gateway): allow Control UI session patch/delete
 78 | #22341  | bugfix     | fix(status): detect node-only mode and show remote gateway info
 78 | #22352  | bugfix     | fix(auth): validate Copilot token cache belongs to requesting account
 78 | #22509  | dependency | Add missing dev dependency (signal-utils)
 78 | #22666  | bugfix     | fix(gateway): operator.admin should imply all operator scopes
 78 | #22776  | bugfix     | fix: restore export-session HTML template placeholders broken by Prettier
 78 | #22870  | bugfix     | fix(config): allow modelByChannel in channels validation allowlist
 78 | #22901  | bugfix     | fix: guard against NaN reserveTokens in compaction safeguard
 78 | #22910  | bugfix     | fix(browser): resolve symlinks in upload path validation
 78 | #23118  | bugfix     | fix(slack): await draft stream flush before messageId check
 78 | #23211  | bugfix     | fix: include modelByChannel in allowed channels validator
 78 | #23255  | bugfix     | fix(feishu): use listEnabledFeishuAccounts for bitable tool registration
 78 | #23308  | bugfix     | fix(browser): accept upload paths that traverse symlinked tmp dirs
 78 | #23525  | bugfix     | fix: include sessionKey in session_start/session_end hook context
 78 | #23557  | bugfix     | fix: catch session JSONL write failures instead of crashing
 78 | #23672  | bugfix     | fix(resilience): guard JSON.parse of external process output with try-catch
 78 | #23692  | bugfix     | fix(pairing): add brute-force protection for DM pairing codes
 78 | #23942  | feature    | feat: add Fal OpenRouter provider core wiring
 78 | #24128  | bugfix     | fix(line): keep monitor promise pending until abort to prevent restart loop
 78 | #24143  | bugfix     | fix(discord): filter ChannelNameChange and ChannelIconChange as system events
 78 | #24206  | bugfix     | fix(daemon): prevent gateway restart orphaning with systemd KillMode=mixed
 78 | #24273  | bugfix     | fix(signal): pass reply/quote context to inbound envelope
 78 | #24330  | feature    | feat(sandbox): add Docker runtime option support [AI-assisted]
 78 | #24472  | bugfix     | fix(exec): accept cmd as alias for command parameter (#20229)
 78 | #24473  | bugfix     | fix: use human-readable labels for regex patterns in post-compaction audit (#223
 78 | #24528  | bugfix     | fix(bluebubbles): pass SSRF policy for localhost attachment downloads
 78 | #24538  | bugfix     | fix(discord): harden replyToMode first/off in delivery layer
 78 | #24584  | bugfix     | fix(config): normalize legacy channels.whatsapp.enabled before writes
